Comment                                   Comment                                (manconfComment)
Blockquote                                Comment                                (markdownBlockquote)
Comment                                   Comment                                (masmComment)
Doc                                       Comment                                (masonDoc)
Comment                                   Comment                                (masterComment)
Comment                                   Comment                                (matlabComment)
MultilineComment                          Comment                                (matlabMultilineComment)
CommentBlock                              Comment                                (maximaCommentBlock)
Comment                                   Comment                                (melComment)
Comment                                   Comment                                (mfComment)
Comment                                   Comment                                (mglComment)
Comment                                   Comment                                (mgpComment)
Comment                                   Comment                                (mibComment)
Comment                                   Comment                                (mibComment)
Comment                                   Comment                                (mmaComment)
CommentStar                               Comment                                (mmaCommentStar)
FunctionComment                           Comment                                (mmaFunctionComment)
LooseQuote                                Comment                                (mmaLooseQuote)
Comment                                   Comment                                (mmixComment)
SpecialComment                            Comment                                (mmixSpecialComment)
Comment                                   Comment                                (mmpComment)
Comment                                   Comment                                (modconfComment)
Comment                                   Comment                                (modelComment)
Comment1                                  Comment                                (modsim3Comment1)
Comment2                                  Comment                                (modsim3Comment2)
Comment                                   Comment                                (modula2Comment)
Comment                                   Comment                                (modula3Comment)
Comment                                   Comment                                (monkComment)
CStyleComment                             Comment                                (mooCStyleComment)
Comment                                   Comment                                (mooComment)
Comment                                   Comment                                (mplayerconfComment)
Comment                                   Comment                                (mrxvtrcComment)
Comment                                   Comment                                (msidlComment)
Comment                                   Comment                                (msmessagesComment)
Comment                                   Comment                                (msqlComment)
Comment                                   Comment                                (mupadComment)
Comment                                   Comment                                (mushComment)
